,price
696,"$1,449,000"
697,"$998,000"
698,"$4,185,000"
699,"$995,000"
700,"$394,000"
701,"$400,000"
702,"$1,318,000"
703,"$998,000"
704,"$925,000"
705,"$625,000"
706,"$995,000"
707,"$5,250,000"
708,"$2,750,000"
709,"$868,000"
710,"$978,000"
711,"$799,000"
712,"$510,000"
713,"$400,000"
714,"$7,200,000"
715,"$729,000"
716,"$3,895,000"
717,"$1,825,000"
718,"$899,000"
719,"$4,645,000"
720,"$2,599,000"
721,"$680,000"
722,"$1,095,000"
723,"$3,500"
724,"$1,695,000"
725,"$799,000"
726,"$1,048,000"
727,"$1,995,000"
728,"$2,795,000"
729,"$2,995,000"
730,"$545,000"
731,"$575,000"
732,"$525,000"
733,"$2,195,000"
734,"$1,149,000"
735,"$1,695,000"
736,"$11,750,000"
737,"$995,000"
738,"$1,995,000"
739,"$949,000"
740,"$1,275,000"
741,"$1,150,000"
742,"$960,000"
743,"$565,000"
744,"$1,100,000"
745,"$715,000"
746,"$2,250,000"
747,"$300,000"
748,"$1,799,000"
749,"$789,900"
750,"$1,550,000"
751,"$1,050,000"
752,"$1,099,000"
753,"$799,000"
754,"$1,495,000"
755,"$2,095,000"
756,"$3,300,000"
757,"$819,000"
758,"$1,449,000"
759,"$998,000"
760,"$4,185,000"
761,"$995,000"
762,"$394,000"
763,"$400,000"
764,"$1,318,000"
765,"$998,000"
766,"$925,000"
767,"$625,000"
768,"$995,000"
769,"$5,250,000"
770,"$2,750,000"
771,"$868,000"
772,"$978,000"
773,"$799,000"
774,"$510,000"
775,"$400,000"
776,"$7,200,000"
777,"$729,000"
778,"$3,895,000"
779,"$1,825,000"
780,"$899,000"
781,"$4,645,000"
782,"$2,599,000"
783,"$680,000"
784,"$1,095,000"
785,"$3,500"
786,"$1,695,000"
787,"$799,000"
788,"$1,048,000"
789,"$1,995,000"
790,"$2,795,000"
791,"$2,995,000"
792,"$545,000"
793,"$575,000"
794,"$525,000"
795,"$2,195,000"
796,"$1,149,000"
797,"$1,695,000"
798,"$11,750,000"
799,"$995,000"
800,"$1,995,000"
801,"$949,000"
802,"$1,275,000"
803,"$1,150,000"
804,"$960,000"
805,"$565,000"
806,"$1,100,000"
807,"$715,000"
808,"$2,250,000"
809,"$300,000"
810,"$1,799,000"
811,"$789,900"
812,"$1,550,000"
813,"$1,050,000"
814,"$1,099,000"
815,"$799,000"
816,"$1,495,000"
817,"$2,095,000"
818,"$3,300,000"
819,"$819,000"
820,"$1,449,000"
821,"$998,000"
822,"$4,185,000"
823,"$995,000"
824,"$394,000"
825,"$400,000"
826,"$1,318,000"
827,"$998,000"
828,"$925,000"
829,"$625,000"
830,"$995,000"
831,"$5,250,000"
832,"$2,750,000"
833,"$868,000"
834,"$978,000"
835,"$799,000"
836,"$510,000"
837,"$400,000"
838,"$7,200,000"
839,"$729,000"
840,"$3,895,000"
841,"$1,825,000"
842,"$899,000"
843,"$4,645,000"
844,"$2,599,000"
845,"$680,000"
846,"$1,095,000"
847,"$3,500"
848,"$1,695,000"
849,"$799,000"
850,"$1,048,000"
851,"$1,995,000"
852,"$2,795,000"
853,"$2,995,000"
854,"$545,000"
855,"$575,000"
856,"$525,000"
857,"$2,195,000"
858,"$1,149,000"
859,"$1,695,000"
860,"$11,750,000"
861,"$995,000"
862,"$1,995,000"
863,"$949,000"
864,"$1,275,000"
865,"$1,150,000"
866,"$960,000"
867,"$565,000"
868,"$1,100,000"
869,"$715,000"
870,"$2,250,000"
871,"$300,000"
872,"$1,799,000"
873,"$789,900"
874,"$1,550,000"
875,"$1,050,000"
876,"$1,099,000"
877,"$799,000"
878,"$1,495,000"
879,"$2,095,000"
880,"$3,300,000"
881,"$819,000"
882,"$1,449,000"
883,"$998,000"
884,"$4,185,000"
885,"$995,000"
886,"$394,000"
887,"$400,000"
888,"$1,318,000"
889,"$998,000"
890,"$925,000"
891,"$625,000"
892,"$995,000"
893,"$5,250,000"
894,"$2,750,000"
895,"$868,000"
896,"$978,000"
897,"$799,000"
898,"$510,000"
899,"$400,000"
900,"$7,200,000"
901,"$729,000"
902,"$3,895,000"
903,"$1,825,000"
904,"$899,000"
905,"$4,645,000"
906,"$2,599,000"
907,"$680,000"
908,"$1,095,000"
909,"$3,500"
910,"$1,695,000"
911,"$799,000"
912,"$1,048,000"
913,"$1,995,000"
914,"$2,795,000"
915,"$2,995,000"
916,"$545,000"
917,"$575,000"
918,"$525,000"
919,"$2,195,000"
920,"$1,149,000"
921,"$1,695,000"
922,"$11,750,000"
923,"$995,000"
924,"$1,995,000"
925,"$949,000"
926,"$1,275,000"
927,"$1,150,000"
928,"$960,000"
929,"$565,000"
930,"$1,100,000"
931,"$715,000"
932,"$2,250,000"
933,"$300,000"
934,"$1,799,000"
935,"$789,900"
936,"$1,550,000"
937,"$1,050,000"
938,"$1,099,000"
939,"$799,000"
940,"$1,495,000"
941,"$2,095,000"
942,"$3,300,000"
943,"$819,000"
944,"$1,449,000"
945,"$998,000"
946,"$4,185,000"
947,"$995,000"
948,"$394,000"
949,"$400,000"
950,"$1,318,000"
951,"$998,000"
952,"$925,000"
953,"$625,000"
954,"$995,000"
955,"$5,250,000"
956,"$2,750,000"
957,"$868,000"
958,"$978,000"
959,"$799,000"
960,"$510,000"
961,"$400,000"
962,"$7,200,000"
963,"$729,000"
964,"$3,895,000"
965,"$1,825,000"
966,"$899,000"
967,"$4,645,000"
968,"$2,599,000"
969,"$680,000"
970,"$1,095,000"
971,"$3,500"
972,"$1,695,000"
973,"$799,000"
974,"$1,048,000"
975,"$1,995,000"
976,"$2,795,000"
977,"$2,995,000"
978,"$545,000"
979,"$575,000"
